,VIP,weight,direction
2-ketoisocaproic acid ,2.008796344447942,-0.1932965183690259,lower body
palmitic acid ,1.9377523718012215,-0.18646030891371185,lower body
1-hexadecanol ,1.8631987031128885,-0.1792863787993313,lower body
stearic acid ,1.8484202080443166,-0.1778643174483217,lower body
octadecanol ,1.83745627335311,-0.17680931234076408,lower body
tartaric acid ,1.7449823364985402,-0.16791100361809572,lower body
arachidic acid ,1.713181462722906,-0.1648509631122911,lower body
ribose ,1.6777785815917632,-0.16144431928709882,lower body
inositol myo- ,1.617276519298489,-0.1556225056285073,lower body
4-hydroxyproline ,1.6102799692572414,0.15494926228688843,higher body
3-hydroxy-3-methylglutaric acid ,1.589415012546908,-0.1529415308913316,lower body
sophorose ,1.5730518423567603,-0.15136698410565205,lower body
isocitric acid ,1.5628523539075463,-0.15038553787202702,lower body
glycerol ,1.552782911037381,-0.14941660528008044,lower body
heptadecanoic acid ,1.552245699368686,-0.1493649120631583,lower body
xylitol ,1.5394353090516197,-0.14813223168016124,lower body
uracil ,1.504952333106622,-0.14481410577277726,lower body
fucose ,1.4780207883606455,-0.1422226166713136,lower body
maleic acid ,1.4476987025564911,0.13930487260441035,higher body
glyceric acid ,1.4277921822770434,-0.1373893667974157,lower body
behenic acid ,1.4107561929812378,-0.13575007796310823,lower body
benzoic acid ,1.4103213425125471,-0.13570823445724892,lower body
threonic acid ,1.3908835804450785,-0.13383783493023277,lower body
oleic acid ,1.3813851699702755,-0.13292384995614925,lower body
suberyl glycine ,1.3613762256498312,-0.13099848839121445,lower body
2-isopropylmalic acid ,1.3373630253017248,-0.1286878171103672,lower body
mannitol ,1.3313554340747022,0.12810973637501674,higher body
2-hydroxyglutaric acid ,1.3275600915889336,-0.12774452937404585,lower body
spermidine ,1.3274322665829397,0.1277322294071092,higher body
proline ,1.2451964165183196,0.11981908104513488,higher body
xylose ,1.2304116426596274,0.11839641551726424,higher body
putrescine ,1.1958523627775375,-0.11507094726011022,lower body
threitol ,1.1920523510529961,-0.11470529096142892,lower body
trehalose ,1.182041483373525,-0.11374199476983489,lower body
pelargonic acid ,1.1710437641869227,-0.11268373874769207,lower body
maltose ,1.15331099334555,-0.11097740207790133,lower body
lactic acid ,1.1385849351480193,0.10956038646716026,higher body
beta alanine ,1.1100312071271934,0.10681280270729505,higher body
alpha ketoglutaric acid ,1.1047715561013263,-0.10630669255135708,lower body
dehydroascorbate ,1.0900691831493443,-0.10489195605443155,lower body
shikimic acid ,1.059824191124396,0.10198163033989124,higher body
serine ,1.0464647371641256,0.10069611628319314,higher body
pseudo uridine ,1.016537171652037,0.09781633494909406,higher body
lyxitol ,1.0162088769534456,-0.0977847447769932,lower body
butyl stearate ,1.0121408225858812,-0.09739329606296131,lower body
threonine ,0.9951120820733274,0.09575470474314743,higher body
cysteine ,0.9610817338293138,-0.09248013295659777,lower body
galactinol ,0.9350979006269746,-0.08997983744093963,lower body
succinic acid ,0.8997272562111829,-0.0865762955951283,lower body
homoserine ,0.8724053937813345,-0.0839472481570225,lower body
glycerol-alpha-phosphate ,0.8711279838851288,-0.08382432933244918,lower body
asparagine ,0.7740980359974132,-0.0744876182437112,lower body
urea ,0.7443878236414654,-0.07162875172681328,lower body
glucose ,0.7392824860111883,-0.07113749038428921,lower body
cellobiose ,0.7288632815725631,-0.07013490196972555,lower body
"3,6-anhydrogalactose ",0.7239304256028037,-0.06966023768272318,lower body
isoleucine ,0.7202391721188893,0.06930504665062566,higher body
arabitol ,0.7023192942830592,0.0675807056018987,higher body
valine ,0.6769687236800758,0.06514134580827485,higher body
sorbitol ,0.676639052194008,-0.0651096231547373,lower body
methionine ,0.6741775640951486,0.06487276635199003,higher body
isogalactinol ,0.6565525547313997,-0.06317679903521836,lower body
xanthine ,0.6549434900036373,-0.06302196670959882,lower body
arabinose ,0.6491511472558114,-0.06246459826881619,lower body
phenylalanine ,0.5709152393161036,0.05493634451726866,higher body
malate ,0.5705492245136069,-0.05490112472647719,lower body
pipecolic acid ,0.5666780812208896,-0.054528623789456866,lower body
melibiose ,0.5588295706774054,-0.05377340051028716,lower body
N-acetyl-D-mannosamine ,0.5362101489549602,-0.05159684564022593,lower body
quinic acid ,0.5111266575079153,-0.04918318555036476,lower body
lysine ,0.4943330169443593,0.047567216733690944,higher body
uridine ,0.4638513430294381,0.04463411629366926,higher body
leucine ,0.45891872382310983,0.044159474789238665,higher body
galactonic acid ,0.4232844736776141,0.04073056747025993,higher body
aspartic acid ,0.40789554894902963,0.039249767497828734,higher body
tyrosine ,0.380292703027992,0.03659368241067693,higher body
glucoheptulose ,0.34877044680174313,-0.033560451891062076,lower body
caffeic acid ,0.30566352450648904,-0.02941248635921187,lower body
alanine ,0.29066563138375023,0.027969313420596786,higher body
cis-caffeic acid ,0.28023114251429954,-0.026965254260991205,lower body
indole-3-lactate ,0.27645368980146207,0.02660176870422324,higher body
citric acid ,0.26869753144806374,-0.02585543201868792,lower body
ribonic acid ,0.25571229572503973,-0.024605927128658146,lower body
inulobiose ,0.24036265492166833,-0.023128907253693057,lower body
GABA ,0.23347154795679737,-0.022465810176829262,lower body
glucuronic acid ,0.21255165477716004,0.020452792517048957,higher body
citramalate ,0.20900710494315974,0.020111718050246273,higher body
tryptophan ,0.2044273103410957,-0.019671027109190463,lower body
gluconic acid ,0.1938565064611132,0.01865385103158069,higher body
N-acetyl-D-hexosamine ,0.1923327088123776,-0.01850722353446602,lower body
glutamic acid ,0.18649742931745944,0.017945723503268066,higher body
glycine ,0.18210326865949453,0.01752289519681165,higher body
oxoproline ,0.17094733773909215,0.01644941524348579,higher body
"1,2-anhydro-myo-inositol ",0.1691731698468651,-0.016278695858458307,lower body
lauric acid ,0.1658247631288091,-0.01595649527178731,lower body
galacturonic acid ,0.1572265684267095,-0.015129133600820308,lower body
nicotianamine ,0.14980303088615174,-0.01441480336792359,lower body
guanine ,0.14659434725721948,0.014106047641772191,higher body
erythritol ,0.1398583896230132,-0.013457879816212373,lower body
ornithine ,0.07441696461078466,0.007160775758385229,higher body
isothreonic acid ,0.06974507192603667,-0.006711222675191181,lower body
saccharopine ,0.061177837628740066,-0.005886840170565382,lower body
fructose ,0.0526466048053446,-0.005065921909380925,lower body
citrulline ,0.036768344750811574,0.0035380356232563377,higher body
conduritol-beta-epoxide ,0.035168401752000464,0.003384081036414395,higher body
galactose ,0.03516361555776334,-0.0033836204846591955,lower body
glycerol-3-galactoside NIST ,0.019515434822174525,0.0018778735913225098,higher body
talose ,0.004038946763016353,-0.0003886478334783432,lower body
