x1,x2,x3,Ti,Sub0,N0,ethanol,sugar,time,conversion,peak_rate,time_to_peak,reached_dryness,reached_practical_end
-1.0,-1.0,0.0,15.0,250.0,240.0,137.4999999064823,1.7003256449364938e-07,369.68484242121065,0.9999999993198697,1.4011530339783462,102.05102551275638,True,True
-1.0,1.0,0.0,15.0,280.0,240.0,153.3061084512472,1.261620997732103,600.3001500750375,0.9954942107223853,1.4029190884919842,102.05102551275638,True,True
1.0,-1.0,0.0,27.0,250.0,240.0,137.50000000000009,1.7300827839747127e-43,133.06653326663331,1.0,2.8967600178519035,39.01950975487744,True,True
1.0,1.0,0.0,27.0,280.0,240.0,154.00000000000014,1.711869885738445e-32,152.57628814407204,1.0,2.900181072933634,39.01950975487744,True,True
-1.0,0.0,-1.0,15.0,265.0,140.0,120.4932922138838,45.92128688384729,811.9059529764883,0.826712124966614,0.8516843636088538,86.04302151075538,False,True
-1.0,0.0,1.0,15.0,265.0,340.0,145.74999999999994,1.440075130600677e-17,267.1335667833917,1.0,1.8491266517341387,122.56128064032016,True,True
1.0,0.0,-1.0,27.0,265.0,140.0,145.7499999998295,3.0967088448497723e-10,275.1375687843922,0.9999999999988314,1.730900459610666,34.01700850425213,True,True
1.0,0.0,1.0,27.0,265.0,340.0,145.74999999999997,3.008220800883632e-64,106.55327663831916,1.0,4.031521459843731,44.52226113056528,True,True
0.0,-1.0,-1.0,21.0,250.0,140.0,137.39635722540464,0.18844140835564974,560.280140070035,0.9992462343665773,1.2020831905390708,53.52676338169085,True,True
0.0,-1.0,1.0,21.0,250.0,340.0,137.49999999999997,3.604495977168369e-42,156.07803901950976,1.0,2.7523141309539483,72.53626813406704,True,True
0.0,1.0,-1.0,21.0,280.0,140.0,142.116457947061,21.606440096252452,670.335167583792,0.922834142513384,1.2033251137155787,53.52676338169085,False,True
0.0,1.0,1.0,21.0,280.0,340.0,154.00000000000003,2.5681585462034636e-31,176.58829414707355,1.0,2.7566040042156317,72.53626813406704,True,True
0.0,0.0,0.0,21.0,265.0,240.0,145.7500000000001,2.6392628957580018e-17,232.61630815407705,1.0,2.0045973339895227,62.03101550775388,True,True
0.0,0.0,0.0,21.0,265.0,240.0,145.7500000000001,2.6392628957580018e-17,232.61630815407705,1.0,2.0045973339895227,62.03101550775388,True,True
0.0,0.0,0.0,21.0,265.0,240.0,145.7500000000001,2.6392628957580018e-17,232.61630815407705,1.0,2.0045973339895227,62.03101550775388,True,True
